temperature,oxygen,heat,humidity,pressure
314,657,411,800,556
628,964,150,668,216
125,159,616,857,368
870,183,373,260,201
584,406,147,758,571
579,568,415,166,625
275,465,283,299,933
622,514,529,212,571
523,959,899,446,169
967,69,480,745,921
807,158,438,527,193
965,331,415,837,161
823,709,617,713,949
129,853,557,384,532
654,980,522,932,284
585,886,617,490,997
751,893,104,40,724
461,434,418,522,845
365,457,125,727,757
751,7,319,437,855
369,355,647,521,34
206,490,103,538,531
510,994,993,279,482
583,797,123,465,45
935,175,479,637,109
690,599,429,50,645
854,573,600,919,352
802,963,468,527,512
669,682,536,544,737
328,959,629,659,742
221,456,422,451,998
794,398,876,286,752
425,846,16,818,923
944,397,228,567,265
100,414,623,103,710
946,426,491,427,710
278,510,351,404,929
900,74,560,462,807
419,94,197,725,111
781,830,927,320,484
303,110,417,14,10
531,653,160,196,641
902,593,893,286,799
39,361,236,740,38
356,972,128,657,251
191,580,69,861,708
358,171,517,613,64
791,987,466,893,990
557,270,896,922,25
396,797,505,240,334
779,149,788,614,288
949,251,130,684,360
214,115,468,901,132
957,401,390,680,259
123,177,55,253,838
562,653,603,961,99
279,532,677,558,794
282,69,277,903,427
289,882,461,168,946
998,336,762,549,135
475,498,996,921,550
485,861,416,764,73
25,618,321,431,564
317,774,513,929,99
77,848,567,681,867
527,19,306,628,898
145,861,390,588,957
682,294,184,316,939
537,835,469,819,773
352,262,14,194,229
990,922,502,675,421
680,435,872,576,493
7,854,711,963,803
744,233,863,840,252
362,374,715,85,819
819,134,466,441,187
209,623,954,533,758
651,540,502,898,233
240,574,262,5,121
532,804,522,705,200
742,276,220,117,430
662,460,939,865,939
20,266,799,528,425
739,305,653,624,597
463,547,277,76,58
412,201,949,70,787
312,881,623,215,792
500,721,456,65,468
887,412,315,571,8
149,829,963,922,832
588,763,353,940,607
937,149,125,57,523
629,284,298,578,434
845,362,254,808,296
81,168,841,799,945
772,964,375,630,214
301,958,254,54,699
327,890,738,890,797
119,911,23,902,499
188,987,739,479,120
945,840,255,284,703
197,964,695,739,858
201,184,980,972,48
167,14,124,122,239
64,682,228,953,66
21,669,939,360,68
556,743,233,469,919
241,675,811,195,650
396,385,659,160,972
315,21,59,281,559
