depth,roll,pressure,pitch
5178.0,6519.0,5178.0,6518.0
5180.0,6520.0,5179.0,6520.0
5180.0,6526.0,5181.0,6526.0
5180.0,6527.0,5181.0,6527.0
5182.0,6528.0,5181.0,6528.0
5185.0,6528.0,5184.0,6528.0
5185.0,6529.0,5184.0,6528.0
5186.0,6532.0,5186.0,6532.0
5188.0,6533.0,5187.0,6533.0
5188.0,653.0,5187.0,6533.0
5188.0,6535.0,518.0,6535.0
5188.0,6536.0,518.0,6535.0
5188.0,6536.0,518.0,6535.0
5191.0,6539.0,518.0,6538.0
519.0,6539.0,5192.0,6538.0
519.0,6.0,5192.0,6540.0
5195.0,6.0,5194.0,6540.0
5195.0,6542.0,5194.0,6542.0
5195.0,6543.0,5194.0,6542.0
5198.0,65.0,5194.0,6546.0
5199.0,65.0,5194.0,6546.0
5200.0,65.0,5194.0,6546.0
5200.0,65.0,5194.0,6547.0
5200.0,6551.0,520.0,6550.0
5200.0,6552.0,520.0,6552.0
5203.0,65.0,52.0,6553.0
5203.0,6554.0,52.0,6553.0
5205.0,6556.0,5204.0,6554.0
5205.0,6556.0,5204.0,6554.0
5205.0,6558.0,5205.0,6557.0
5208.0,6559.0,5208.0,6558.0
5209.0,6559.0,5208.0,6558.0
5209.0,6559.0,5208.0,6559.0
5211.0,6563.0,5211.0,6562.0
5213.0,6565.0,5213.0,6565.0
5213.0,6566.0,5213.0,6566.0
5213.0,6567.0,5213.0,6567.0
5213.0,6569.0,5215.0,6569.0
5213.0,6569.0,5215.0,6569.0
5216.0,6571.0,5.0,6571.0
5218.0,65.0,5.0,6571.0
5218.0,65.0,5.0,6571.0
5219.0,6573.0,5.0,6572.0
5222.0,6573.0,5221.0,6573.0
5225.0,6575.0,5224.0,6574.0
5226.0,6575.0,5224.0,6574.0
5227.0,6577.0,5224.0,6576.0
5228.0,6579.0,5224.0,6578.0
5230.0,6579.0,5229.0,6579.0
5230.0,6581.0,5229.0,6580.0
5231.0,6584.0,5229.0,6583.0
5231.0,6584.0,5231.0,6583.0
5232.0,6589.0,5231.0,6588.0
5234.0,6589.0,5234.0,6588.0
5236.0,6591.0,5235.0,6590.0
5238.0,6591.0,5237.0,6591.0
5238.0,6591.0,5237.0,6591.0
52.0,6597.0,5239.0,6596.0
52.0,6598.0,5239.0,6597.0
52.0,6599.0,5239.0,6598.0
52.0,6600.0,5240.0,6600.0
5242.0,6601.0,5242.0,6600.0
5242.0,6607.0,5242.0,6606.0
5243.0,6608.0,5243.0,6608.0
5245.0,6608.0,5244.0,6608.0
5248.0,6610.0,5247.0,6610.0
5250.0,6610.0,5249.0,6610.0
5250.0,6613.0,5249.0,6610.0
5250.0,6613.0,5249.0,6610.0
5252.0,6613.0,5251.0,6610.0
5252.0,6615.0,5251.0,6614.0
5252.0,6617.0,5251.0,6.0
5255.0,6620.0,5254.0,6619.0
