timestamp,depth,roll,pitch,yaw,vertical_acceleration,depth_beneath_rov,Depth_below_Transducer_depth_in_M,Mean_Temprature_Water_temprature_in_C
1618745098.3510592,0.5,3.28,3.54,112.6,10.31,13.7,,20.1
1618745098.4630563,0.5,3.76,3.54,112.6,10.31,13.7,,20.1
1618745098.557098,0.5,3.76,3.8,115.29,10.31,13.7,,20.1
1618745098.653062,0.5,3.76,3.8,115.29,10.17,13.7,,20.1
1618745098.7480683,0.5,3.76,3.8,115.29,10.17,13.73,,20.1
1618745098.8430648,0.5,3.1,3.99,115.29,10.17,13.73,,20.1
1618745098.9380608,0.5,3.1,3.99,115.29,10.17,13.73,,20.1
1618745099.0340607,0.5,3.1,3.99,115.29,10.17,13.76,,20.1
1618745099.1290588,0.5,3.08,3.76,115.29,10.17,13.76,,20.1
1618745099.2240572,0.5,3.08,3.76,113.9,10.16,13.76,,20.1
1618745099.3030562,0.5,3.08,3.76,113.9,10.16,13.76,,20.1
1618745099.3960745,0.5,3.08,3.76,113.9,10.16,13.76,,20.1
1618745099.507078,0.5,3.98,3.55,113.9,10.16,13.77,,20.1
1618745099.6020572,0.5,3.98,3.55,113.91,10.16,13.77,,20.1
1618745099.6970582,0.5,3.98,3.55,113.91,10.16,13.77,,20.1
1618745099.7920785,0.5,3.29,3.55,113.91,10.16,13.79,,20.1
1618745099.8880603,0.5,3.29,4.2,113.8,10.16,13.79,,20.1
1618745099.9840581,0.6,3.29,4.2,113.8,10.24,13.79,,20.1
1618745100.080057,0.6,3.55,4.2,113.8,10.24,13.0,,20.1
1618745100.1750586,0.6,3.55,4.2,113.8,10.24,13.0,,20.1
1618745100.2700567,0.6,3.55,3.96,114.19,10.24,13.0,,20.1
1618745100.3810892,0.5,3.55,3.96,114.19,10.32,13.0,,20.1
1618745100.4750578,0.5,3.55,3.96,114.19,10.32,13.79,,20.1
1618745100.5700767,0.5,3.54,3.95,114.19,10.32,13.79,,20.1
1618745100.664067,0.5,3.54,3.95,113.56,10.32,13.79,,20.1
1618745100.75906,0.5,3.54,3.95,113.56,10.32,13.72,,20.1
1618745100.8690598,0.5,3.1,3.55,113.56,10.32,13.72,,20.1
1618745100.9650645,0.5,3.1,3.55,113.37,10.24,13.72,,20.1
1618745101.0600662,0.6,3.1,3.55,113.37,10.24,13.72,,20.1
1618745101.156076,0.6,3.73,3.55,113.37,10.24,13.7,,20.1
1618745101.2510688,0.6,3.73,3.98,114.82,10.2,13.7,,20.1
1618745101.3470712,0.5,3.73,3.98,114.82,10.2,13.7,,20.1
1618745101.4420707,0.5,3.73,3.98,114.82,10.2,13.7,,20.1
1618745101.53706,0.5,4.34,3.98,114.82,10.2,13.63,,20.1
1618745101.6320572,0.5,4.34,4.45,113.44,10.2,13.63,,20.1
1618745101.7270994,0.5,4.34,4.45,113.44,10.28,13.63,,20.1
1618745101.8210642,0.5,4.34,4.45,113.44,10.28,13.61,,20.1
1618745101.9300652,0.5,3.09,3.76,113.69,10.28,13.61,,20.1
1618745102.0250602,0.5,3.09,3.76,113.69,10.2,13.61,,20.1
1618745102.12106,0.5,3.09,3.76,113.69,10.2,13.61,,20.1
1618745102.215059,0.5,3.32,3.77,113.69,10.2,13.61,,20.1
1618745102.324069,0.5,3.32,3.77,113.18,10.13,13.61,,20.1
1618745102.4200988,0.5,3.32,3.77,113.18,10.13,13.61,,20.1
1618745102.5143647,0.5,3.32,3.76,113.18,10.13,13.62,,20.1
1618745102.608401,0.5,3.32,3.76,113.18,10.13,13.62,,20.1
1618745102.70337,0.5,3.32,3.76,113.65,10.09,13.62,,20.1
1618745102.7983685,0.5,3.32,3.76,113.65,10.09,13.62,,20.1
1618745102.8928385,0.5,3.54,3.76,113.65,10.09,13.64,,20.1
1618745102.988825,0.5,3.54,3.98,113.65,10.09,13.64,,20.1
1618745103.0848057,0.6,3.54,3.98,113.65,10.09,13.64,,20.1
1618745103.1788056,0.6,3.76,3.98,113.65,10.09,13.64,,20.1
1618745103.2738085,0.6,3.76,3.78,116.01,10.09,13.64,,20.1
1618745103.3688414,0.6,3.76,3.78,116.01,10.21,13.64,,20.1
1618745103.463816,0.6,3.76,3.78,116.01,10.21,13.64,,20.1
1618745103.5588117,0.6,3.56,3.56,116.01,10.21,13.64,,20.1
1618745103.6528106,0.6,3.56,3.56,116.01,10.21,13.64,,20.1
1618745103.7478004,0.5,3.56,3.56,114.48,10.17,13.64,,20.1
1618745103.8418071,0.5,3.56,3.56,114.48,10.17,13.0,,20.1
1618745103.9368012,0.5,3.3,4.18,114.48,10.17,13.0,,20.1
1618745104.0318143,0.5,3.3,4.18,115.08,10.17,13.0,,20.1
1618745104.126805,0.5,3.3,4.18,115.08,10.17,13.0,,20.1
1618745104.2228155,0.5,3.3,3.98,115.08,10.17,13.62,,20.1
1618745104.3168402,0.5,3.3,3.98,112.48,10.24,13.62,,20.1
1618745104.4278002,0.5,3.3,3.98,112.48,10.24,13.62,,20.1
1618745104.5238082,0.5,3.51,3.98,112.48,10.24,13.62,,20.1
1618745104.6178017,0.5,3.51,3.78,116.49,10.24,13.62,,20.1
1618745104.7138062,0.5,3.51,3.78,116.49,10.24,13.62,,20.1
1618745104.8078005,0.5,3.51,3.78,116.49,10.24,13.62,,20.1
1618745104.9028025,0.5,3.72,3.78,116.49,10.24,13.65,,20.1
1618745104.9968097,0.5,3.72,3.28,116.39,10.24,13.65,,20.1
1618745105.0918055,0.6,3.72,3.28,116.39,10.29,13.65,,20.1
1618745105.186809,0.6,3.72,3.28,116.39,10.29,13.65,,20.1
1618745105.2798026,0.6,3.29,3.95,115.59,10.29,13.65,,20.1
1618745105.3588123,0.6,3.29,3.95,115.59,10.29,13.65,,20.1
1618745105.4538026,0.5,3.29,3.95,115.59,10.24,13.65,,20.1
1618745105.5488036,0.5,3.29,3.95,115.59,10.24,13.7,,20.1
1618745105.6438038,0.5,3.09,3.74,115.59,10.24,13.7,,20.1
1618745105.7228034,0.5,3.09,3.74,115.59,10.24,13.7,,20.1
1618745105.816815,0.5,3.09,3.74,115.59,10.24,13.7,,20.1
1618745105.9118018,0.5,3.75,3.74,115.59,10.24,13.7,,20.1
1618745106.0047987,0.5,3.75,3.78,117.18,10.21,13.7,,20.1
1618745106.0998044,0.5,3.75,3.78,117.18,10.21,13.7,,20.1
1618745106.1958044,0.5,3.75,3.78,117.18,10.21,13.7,,20.1
1618745106.291803,0.5,3.28,3.78,117.18,10.21,13.68,,20.1
1618745106.3708396,0.5,3.28,4.2,116.22,10.21,13.68,,20.1
1618745106.4648077,0.5,3.28,4.2,116.22,10.2,13.68,,20.1
1618745106.5598028,0.5,3.28,4.2,116.22,10.2,13.71,,20.1
1618745106.6548014,0.5,3.31,3.74,116.22,10.2,13.71,,20.1
1618745106.7328014,0.5,3.31,3.74,116.22,10.2,13.71,,20.1
1618745106.8278012,0.5,3.31,3.74,116.22,10.2,13.71,,20.1
1618745106.9228024,0.5,3.31,3.74,116.22,10.2,13.72,,20.1
1618745107.0178,0.5,3.09,3.54,116.22,10.2,13.72,,20.1
1618745107.1128025,0.5,3.09,3.54,116.65,10.2,13.72,,20.1
1618745107.2078009,0.5,3.09,3.54,116.65,10.2,13.72,,20.1
1618745107.302843,0.5,3.09,3.99,116.65,10.2,13.72,,20.1
1618745107.3818102,0.5,3.09,3.99,117.19,10.24,13.72,,20.1
1618745107.476839,0.5,3.09,3.99,117.19,10.24,13.72,,20.1
1618745107.571799,0.5,3.09,3.99,117.19,10.24,13.72,,20.1
1618745107.6677988,0.5,3.31,3.99,117.19,10.24,13.7,,20.1
1618745107.7637992,0.5,3.31,3.78,116.81,10.24,13.7,,20.1
1618745107.8588006,0.5,3.31,3.78,116.81,10.24,13.7,,20.1
1618745107.9528008,0.5,3.31,3.78,116.81,10.24,13.68,,20.1
1618745108.0488038,0.5,3.75,3.93,118.03,10.24,13.68,,20.1
1618745108.1448011,0.5,3.75,3.93,118.03,10.16,13.68,,20.1
1618745108.2387984,0.5,3.75,3.93,118.03,10.16,13.68,,20.1
1618745108.3338027,0.5,3.98,4.01,118.03,10.16,13.68,,20.1
1618745108.4283278,0.5,3.98,4.01,118.29,10.2,13.68,,20.1
1618745108.523325,0.5,3.98,4.01,118.29,10.2,13.68,,20.1
1618745108.6193278,0.5,3.98,4.01,118.29,10.2,13.68,,20.1
