timestamp,depth,roll,pitch,yaw,vertical_acceleration,depth_beneath_rov,Depth_below_Transducer_depth_in_M
1618745896.1806896,0.5,3.28,4.13,-122.64,10.28,20.3,18.7
1618745896.2836874,0.5,3.28,4.13,-122.64,10.33,20.3,18.7
1618745896.3796926,0.5,3.28,4.13,-122.64,10.33,20.31,18.7
1618745896.4916856,0.5,3.28,3.92,-122.64,10.33,20.31,18.7
1618745896.5866916,0.4,3.28,3.92,-122.34,10.32,20.31,18.7
1618745896.6826909,0.4,3.28,3.92,-122.34,10.32,20.28,18.7
1618745896.778715,0.4,3.53,3.52,-122.34,10.32,20.28,18.7
1618745896.8747013,0.4,3.53,3.52,-123.6,10.12,20.28,18.7
1618745896.9546988,0.4,3.53,3.52,-123.6,10.12,20.28,18.7
1618745897.0506911,0.4,3.53,3.52,-123.6,10.12,20.28,18.7
1618745897.145695,0.4,4.24,3.52,-123.6,10.12,20.23,18.7
1618745897.2416906,0.4,4.24,4.01,-123.36,10.12,20.23,18.7
1618745897.3496983,0.5,4.24,4.01,-123.36,10.06,20.23,18.7
1618745897.4596953,0.5,3.7,4.01,-123.36,10.06,20.28,18.7
1618745897.5546966,0.5,3.7,3.73,-122.9,10.06,20.28,18.7
1618745897.665689,0.4,3.7,3.73,-122.9,10.2,20.28,18.7
1618745897.7586942,0.4,3.7,3.73,-122.9,10.2,20.35,18.7
1618745897.8677325,0.4,3.28,3.26,-122.9,10.2,20.35,18.7
1618745897.962693,0.5,3.28,3.26,-121.88,10.24,20.35,18.7
1618745898.057702,0.5,3.28,3.26,-121.88,10.24,20.35,18.7
1618745898.1517265,0.5,3.09,3.26,-121.88,10.24,20.4,18.7
1618745898.2457342,0.5,3.09,4.01,-122.85,10.16,20.4,18.7
1618745898.3407197,0.5,3.09,4.01,-122.85,10.16,20.4,18.7
1618745898.419698,0.5,3.09,4.01,-122.85,10.16,20.4,18.7
1618745898.5146952,0.5,3.33,4.01,-122.85,10.16,20.36,18.7
1618745898.6106992,0.5,3.33,4.01,-119.14,10.16,20.36,18.7
1618745898.7067,0.4,3.33,4.01,-119.14,10.29,20.36,18.7
1618745898.8176908,0.4,4.44,4.01,-119.14,10.29,20.28,18.7
1618745898.9286995,0.4,4.44,3.74,-146.46,10.29,20.28,18.7
1618745899.0237737,0.4,4.44,3.74,-146.46,10.32,20.28,18.7
1618745899.1187723,0.4,4.44,3.74,-146.46,10.32,20.19,18.7
1618745899.2137692,0.4,3.51,3.9,172.44,10.32,20.19,18.7
1618745899.2907665,0.4,3.51,3.9,172.44,10.32,20.19,18.7
1618745899.3847725,0.5,3.51,3.9,172.44,10.32,20.19,18.7
1618745899.4797683,0.5,3.51,3.9,172.44,10.32,20.17,18.7
1618745899.5747697,0.5,3.09,3.77,-156.83,10.32,20.17,18.7
1618745899.6687734,0.5,3.09,3.77,-156.83,10.08,20.17,18.7
1618745899.7637708,0.5,3.09,3.77,-156.83,10.08,20.31,18.7
1618745899.8567686,0.5,3.35,3.54,-156.83,10.08,20.31,18.7
1618745899.9517732,0.5,3.35,3.54,173.39,10.12,20.31,18.7
1618745900.046773,0.5,3.35,3.54,173.39,10.12,20.31,18.7
1618745900.1427698,0.5,3.35,3.54,173.39,10.12,20.32,18.7
1618745900.2367697,0.5,3.35,3.54,173.39,10.12,20.32,18.7
1618745900.3317685,0.5,3.35,3.93,-163.59,10.12,20.32,18.7
1618745900.4257686,0.5,3.35,3.93,-163.59,10.24,20.32,18.7
1618745900.5218215,0.5,3.35,3.93,-163.59,10.24,20.33,18.7
1618745900.6167808,0.5,3.69,3.73,-163.59,10.24,20.33,18.7
1618745900.7108054,0.5,3.69,3.73,-157.93,10.35,20.33,18.7
1618745900.805807,0.5,3.69,3.73,-157.93,10.35,20.33,18.7
1618745900.9008067,0.5,2.88,3.76,-157.93,10.35,20.45,18.7
1618745900.9957714,0.5,2.88,3.76,178.1,10.2,20.45,18.7
1618745901.0927737,0.5,2.88,3.76,178.1,10.2,20.45,18.7
1618745901.186776,0.5,3.84,3.76,178.1,10.2,20.43,18.7
1618745901.2807693,0.5,3.84,3.76,178.1,10.2,20.43,18.7
1618745901.3767936,0.5,3.84,3.58,-157.75,10.2,20.43,18.7
1618745901.4727802,0.6,3.84,3.58,-157.75,10.12,20.43,18.7
1618745901.567773,0.6,3.84,3.58,-157.75,10.12,20.51,18.7
1618745901.6627724,0.6,4.0,3.77,-163.49,10.12,20.51,18.7
1618745901.7587793,0.5,4.0,3.77,-163.49,10.24,20.51,18.7
1618745901.8527703,0.5,4.0,3.77,-163.49,10.24,20.51,18.7
1618745901.946775,0.5,3.29,3.74,-163.49,10.24,20.51,18.7
1618745902.040776,0.5,3.29,3.74,-163.62,10.2,20.51,18.7
