roll,pitch,depth,pressure
6212,6212,6212,6212
6213,6213,6213,6213
6214,6214,6214,6214
6215,6215,6215,6215
6216,6216,6216,6216
6217,6217,6217,6217
6218,6218,6218,6218
6219,6219,6219,6219
6220,6220,6220,6220
6221,6221,6221,6221
6222,6222,6222,6222
6223,6223,6223,6223
6224,6224,6224,6224
6225,6225,6225,6225
6226,6226,6226,6226
6227,6227,6227,6227
6228,6228,6228,6228
6229,6229,6229,6229
6230,6230,6230,6230
6231,6231,6231,6231
6232,6232,6232,6232
6233,6233,6233,6233
6234,6234,6234,6234
6235,6235,6235,6235
6236,6236,6236,6236
6237,6237,6237,6237
6238,6238,6238,6238
6239,6239,6239,6239
6240,6240,6240,6240
6241,6241,6241,6241
6242,6242,6242,6242
6243,6243,6243,6243
6244,6244,6244,6244
6245,6245,6245,6245
6246,6246,6246,6246
6247,6247,6247,6247
6248,6248,6248,6248
6249,6249,6249,6249
6250,6250,6250,6250
6251,6251,6251,6251
6252,6252,6252,6252
6253,6253,6253,6253
6254,6254,6254,6254
6255,6255,6255,6255
6256,6256,6256,6256
6257,6257,6257,6257
6258,6258,6258,6258
6259,6259,6259,6259
6260,6260,6260,6260
6261,6261,6261,6261
6262,6262,6262,6262
6263,6263,6263,6263
6264,6264,6264,6264
6265,6265,6265,6265
6266,6266,6266,6266
6267,6267,6267,6267
6268,6268,6268,6268
6269,6269,6269,6269
6270,6270,6270,6270
6271,6271,6271,6271
6272,6272,6272,6272
6273,6273,6273,6273
6274,6274,6274,6274
6275,6275,6275,6275
6276,6276,6276,6276
6277,6277,6277,6277
6278,6278,6278,6278
6279,6279,6279,6279
6280,6280,6280,6280
6281,6281,6281,6281
6282,6282,6282,6282
6283,6283,6283,6283
6284,6284,6284,6284
6285,6285,6285,6285
6286,6286,6286,6286
6287,6287,6287,6287
6288,6288,6288,6288
6289,6289,6289,6289
6290,6290,6290,6290
6291,6291,6291,6291
6292,6292,6292,6292
6293,6293,6293,6293
6294,6294,6294,6294
6295,6295,6295,6295
6296,6296,6296,6296
6297,6297,6297,6297
6298,6298,6298,6298
6299,6299,6299,6299
6300,6300,6300,6300
6301,6301,6301,6301
6302,6302,6302,6302
6303,6303,6303,6303
6304,6304,6304,6304
6305,6305,6305,6305
6306,6306,6306,6306
6307,6307,6307,6307
6308,6308,6308,6308
6309,6309,6309,6309
6310,6310,6310,6310
6311,6311,6311,6311
6312,6312,6312,6312
6313,6313,6313,6313
6314,6314,6314,6314
6315,6315,6315,6315
6316,6316,6316,6316
6317,6317,6317,6317
6318,6318,6318,6318
6319,6319,6319,6319
6320,6320,6320,6320
6321,6321,6321,6321
6322,6322,6322,6322
6323,6323,6323,6323
6324,6324,6324,6324
6325,6325,6325,6325
6326,6326,6326,6326
6327,6327,6327,6327
6328,6328,6328,6328
6329,6329,6329,6329
6330,6330,6330,6330
6331,6331,6331,6331
6332,6332,6332,6332
6333,6333,6333,6333
6334,6334,6334,6334
6335,6335,6335,6335
6336,6336,6336,6336
6337,6337,6337,6337
6338,6338,6338,6338
6339,6339,6339,6339
6340,6340,6340,6340
6341,6341,6341,6341
6342,6342,6342,6342
6343,6343,6343,6343
6344,6344,6344,6344
6345,6345,6345,6345
6346,6346,6346,6346
6347,6347,6347,6347
6348,6348,6348,6348
6349,6349,6349,6349
6350,6350,6350,6350
6351,6351,6351,6351
6352,6352,6352,6352
6353,6353,6353,6353
6354,6354,6354,6354
6355,6355,6355,6355
6356,6356,6356,6356
6357,6357,6357,6357
6358,6358,6358,6358
6359,6359,6359,6359
6360,6360,6360,6360
6361,6361,6361,6361
6362,6362,6362,6362
6363,6363,6363,6363
6364,6364,6364,6364
6365,6365,6365,6365
6366,6366,6366,6366
6367,6367,6367,6367
6368,6368,6368,6368
6369,6369,6369,6369
6370,6370,6370,6370
6371,6371,6371,6371
6372,6372,6372,6372
6373,6373,6373,6373
6374,6374,6374,6374
6375,6375,6375,6375
6376,6376,6376,6376
6377,6377,6377,6377
6378,6378,6378,6378
6379,6379,6379,6379
6380,6380,6380,6380
6381,6381,6381,6381
6382,6382,6382,6382
6383,6383,6383,6383
6384,6384,6384,6384
